# DiscordGuard Scraped Raw Data
# ============================================================
# THIS FILE IS AUTO-GENERATED. DO NOT EDIT MANUALLY.
#
# Regenerate by running: python scripts/scraper.py
# Compile into JSON:     python scripts/compile-lists.py --target <profile>
# ============================================================
! BEGIN SCRAPED
! Scraped: 2026-03-07T08:22:27Z
! Source: disboard.org
! Tags scraped (hard-blocked): nsfw, adult, 18+, hentai, gore, explicit, porn, lewd, erotic, xxx, ai-girlfriend, ai-boyfriend, ai-companion, ai-roleplay, ai-chat, ai-waifu, virtual-girlfriend, virtual-companion, character-ai, replika, ai-romance, ai-dating, ai-relationship, companionship, ai-friend
! Tags scraped (teen-flagged): mature, suggestive, dating, relationship, artificial-intelligence, ai, chatgpt, claude, llm, generative-ai, ai-generated, ai-art, stable-diffusion, midjourney, ai-tools
! Total servers: 575
!
! SECTION hard-blocked
! Servers from hard-blocked tags — included in child-safe and family-safe lists
||server:1371928579000238220  ! name: unknown | tags: 18+ | source_tag: nsfw
||server:1375535780432318576  ! name: unknown | tags: erotic | source_tag: nsfw
||server:1377152341886894150  ! name: unknown | tags: explicit | source_tag: nsfw
||server:1378105901046694059  ! name: unknown | tags: explicit | source_tag: nsfw
||server:1378384455768477716  ! name: unknown | tags: xxx | source_tag: nsfw
||server:1378428911351890011  ! name: unknown | tags: ai-chat, ai-friend | source_tag: ai_companion
||server:1380673791319085206  ! name: unknown | tags: hentai | source_tag: nsfw
||server:1380697846730457129  ! name: unknown | tags: porn | source_tag: nsfw
||server:1382544379645919242  ! name: unknown | tags: ai-girlfriend | source_tag: ai_companion
||server:1384223860542668910  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1384225100970201181  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1384268869736071360  ! name: unknown | tags: ai-chat | source_tag: ai_companion
||server:1387293806809976882  ! name: unknown | tags: companionship | source_tag: ai_companion
||server:1389276378490208488  ! name: unknown | tags: replika | source_tag: ai_companion
||server:1389987208219590736  ! name: unknown | tags: replika | source_tag: ai_companion
||server:1390012030676762765  ! name: unknown | tags: porn | source_tag: nsfw
||server:1394487006360375427  ! name: unknown | tags: adult | source_tag: nsfw
||server:1396655868199702689  ! name: unknown | tags: virtual-girlfriend | source_tag: ai_companion
||server:1397678448931246090  ! name: unknown | tags: replika | source_tag: ai_companion
||server:1398294885521559612  ! name: unknown | tags: character-ai | source_tag: ai_companion
||server:1398811059925815487  ! name: unknown | tags: erotic | source_tag: nsfw
||server:1401922207726174218  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1403957852925591704  ! name: unknown | tags: character-ai | source_tag: ai_companion
||server:1404907033303715920  ! name: unknown | tags: xxx | source_tag: nsfw
||server:1411392534403616798  ! name: unknown | tags: erotic | source_tag: nsfw
||server:1414365001787113655  ! name: unknown | tags: hentai | source_tag: nsfw
||server:1416731355110178829  ! name: unknown | tags: erotic | source_tag: nsfw
||server:1418131785350647861  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1420698146182271118  ! name: unknown | tags: replika | source_tag: ai_companion
||server:1422959783694176288  ! name: unknown | tags: 18+ | source_tag: nsfw
||server:1422982182426906626  ! name: unknown | tags: 18+ | source_tag: nsfw
||server:1424673361543565348  ! name: unknown | tags: 18+ | source_tag: nsfw
||server:1425442267585581058  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1425677262774341694  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1426591087480406069  ! name: unknown | tags: explicit | source_tag: nsfw
||server:1427366983082573887  ! name: unknown | tags: ai-roleplay | source_tag: ai_companion
||server:1428527997446520985  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1433299922853040243  ! name: unknown | tags: 18+ | source_tag: nsfw
||server:1434308438774513872  ! name: unknown | tags: ai-girlfriend | source_tag: ai_companion
||server:1437861771456151615  ! name: unknown | tags: ai-roleplay | source_tag: ai_companion
||server:1439304366430359748  ! name: unknown | tags: 18+ | source_tag: nsfw
||server:1439769653902839830  ! name: unknown | tags: character-ai | source_tag: ai_companion
||server:1440602853306794056  ! name: unknown | tags: erotic | source_tag: nsfw
||server:1441780159580471398  ! name: unknown | tags: hentai | source_tag: nsfw
||server:1441836646575116400  ! name: unknown | tags: 18+ | source_tag: nsfw
||server:1441976725025325106  ! name: unknown | tags: 18+ | source_tag: nsfw
||server:1444020292451307685  ! name: unknown | tags: hentai | source_tag: nsfw
||server:1445753905936990352  ! name: unknown | tags: porn | source_tag: nsfw
||server:1445821201581740175  ! name: unknown | tags: porn | source_tag: nsfw
||server:1446234510948827148  ! name: unknown | tags: adult | source_tag: nsfw
||server:1448256458029535327  ! name: unknown | tags: 18+ | source_tag: nsfw
||server:1449701284578857034  ! name: unknown | tags: porn | source_tag: nsfw
||server:1452743714035470358  ! name: unknown | tags: character-ai | source_tag: ai_companion
